col_name,feature_importance_vals,oligo full name,Healthy percentage,ME/CFS percentage
agilent_88956,0.01222134029065501,MH0105_GL0034973 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,77.5,75.0
agilent_134048,0.008916094187850374,MH0043_GL0060107 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,50.0,45.0
agilent_92686,0.006940346854680685,159490532-stool2_revised_scaffold3874_1_gene76177 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,52.5,52.5
agilent_65600,0.0,MH0012_GL0210948 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,97.5,97.5
agilent_89024,0.0,O2.UC12-1_GL0023688 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,97.5,97.5
agilent_135148,0.0,MH0271_GL0067298 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,97.5,100.0
agilent_192564,0.0,SZEY-101A_GL0005408 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,97.5,97.5
agilent_61084,0.0,158499257-stool2_revised_scaffold67395_1_gene40147 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,97.5,95.0
agilent_137474,0.0,O2.UC46-1_GL0134711 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,95.0,95.0
agilent_142983,0.0,MH0001_GL0017187 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,97.5,97.5
agilent_55558,0.0,MH0020_GL0042782 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,95.0,87.5
agilent_147336,0.0,MH0006_GL0114400 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,90.0,90.0
agilent_149908,0.0,MH0243_GL0087980 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,90.0,92.5
agilent_39198,0.0,MH0028_GL0034983 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,95.0,95.0
agilent_36653,0.0,MH0128_GL0087103 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,92.5,95.0
agilent_166869,0.0,MH0026_GL0026830 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,90.0,90.0
agilent_207681,0.0,160158126-stool2_revised_C599977_1_gene121658 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,97.5,97.5
agilent_182676,0.0,MH0073_GL0045612 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,95.0,100.0
agilent_183695,0.0,MH0006_GL0014259 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,92.5,92.5
agilent_200370,0.0,158499257-stool2_revised_scaffold68132_2_gene181542 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,92.5,92.5
agilent_196127,0.0,MH0012_GL0015099 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,92.5,85.0
agilent_48632,0.0,O2.UC35-1_GL0132054 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,95.0,95.0
